timestamp,equity,unrealized_pnl,positions
2026-03-18 18:35:55,201.3042,4.4608,3
2026-03-18 18:36:31,202.0139,5.1705,3
2026-03-18 18:37:05,201.9978,5.1183,3
2026-03-18 18:37:39,200.8395,3.9960,3
2026-03-18 18:38:13,200.7907,3.9473,3
2026-03-18 18:38:47,200.2858,3.4424,3
2026-03-18 18:39:21,199.9722,3.1224,3
2026-03-18 18:39:55,199.4765,2.6331,3
2026-03-18 18:40:29,200.1600,3.3165,3
2026-03-18 18:44:03,204.2262,7.3827,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.9177, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.5584, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7421, ""strategy"": ""marketmaker""}]"
2026-03-18 18:44:38,204.5373,7.3813,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.073, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 8.063, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7039, ""strategy"": ""marketmaker""}]"
2026-03-18 18:45:12,205.1136,8.2702,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.337, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 8.921, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.6836, ""strategy"": ""marketmaker""}]"
2026-03-18 18:45:46,204.0883,7.2449,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.857, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.361, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7409, ""strategy"": ""marketmaker""}]"
2026-03-18 18:46:20,203.2599,6.4165,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.4414, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.0103, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8476, ""strategy"": ""marketmaker""}]"
2026-03-18 18:46:54,204.3850,7.5416,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.9754, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.7458, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.7712, ""strategy"": ""marketmaker""}]"
2026-03-18 18:47:28,204.0776,7.1262,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.745, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.997, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9822, ""strategy"": ""marketmaker""}]"
2026-03-18 18:48:02,203.5430,6.6996,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.5039, ""strategy"": ""marketmaker""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.2134, ""strategy"": ""marketmaker""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9901, ""strategy"": ""marketmaker""}]"
2026-03-18 18:48:36,203.5494,6.7060,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.4818, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.1416, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.0462, ""strategy"": ""breakout""}]"
2026-03-18 18:49:10,204.1507,7.3072,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.7754, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.0959, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9868, ""strategy"": ""breakout""}]"
2026-03-18 18:49:45,204.1405,7.2971,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.833, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.283, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8471, ""strategy"": ""breakout""}]"
2026-03-18 18:50:19,204.3512,7.5078,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.905, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.517, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8703, ""strategy"": ""breakout""}]"
2026-03-18 18:50:53,204.1491,7.2608,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.8154, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.2257, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8954, ""strategy"": ""breakout""}]"
2026-03-18 18:51:27,202.8815,6.0381,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.2426, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.3643, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9164, ""strategy"": ""breakout""}]"
2026-03-18 18:52:01,202.6836,5.8402,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.1381, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.0245, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.9538, ""strategy"": ""breakout""}]"
2026-03-18 18:52:35,203.1296,6.2862,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.305, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.567, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.0242, ""strategy"": ""breakout""}]"
2026-03-18 18:53:09,203.5518,6.7084,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.433, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.983, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.1584, ""strategy"": ""breakout""}]"
2026-03-18 18:53:44,203.6288,6.7854,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.521, ""strategy"": ""scalping""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 6.269, ""strategy"": ""scalping""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.0374, ""strategy"": ""breakout""}]"
2026-03-18 18:53:59,202.9006,6.0572,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.2213, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.2951, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.0049, ""strategy"": ""breakout""}]"
2026-03-18 18:54:34,203.2676,6.4242,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.3289, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.6448, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.1084, ""strategy"": ""breakout""}]"
2026-03-18 18:55:08,203.4987,6.6553,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.425, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.957, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.1233, ""strategy"": ""breakout""}]"
2026-03-18 18:57:44,203.2875,6.4441,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.353, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 5.723, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 2.102, ""strategy"": ""breakout""}]"
2026-03-18 18:59:28,202.4599,5.6165,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -1.081, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 4.839, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8585, ""strategy"": ""breakout""}]"
2026-03-18 19:02:04,204.3655,7.7353,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.017, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 7.881, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8713, ""strategy"": ""breakout""}]"
2026-03-18 19:02:12,204.4570,7.8268,3,"[{""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""long"", ""pnl"": -2.065, ""strategy"": ""trendfollower""}, {""symbol"": ""PIPPIN/USDT:USDT"", ""side"": ""short"", ""pnl"": 8.037, ""strategy"": ""trendfollower""}, {""symbol"": ""ETH/USDT:USDT"", ""side"": ""short"", ""pnl"": 1.8548, ""strategy"": ""breakout""}]"
